Gender,eye_Color,lips_Color,hair_Color,skin_Color,skin_Nature,sleep_Quality,Anger_Quality,lips_Nature,skin_pimple,class
Female,Black,Dark,Black,Whitish,Normal,Deep,Good,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Black,FairReddish,Normal,Sound,Poor,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Pink,Black,Whitish,Dry,Sound,Poor,Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Dark,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Pink,Dusky,FairPaleYellow,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,LightBrown,FairPaleYellow,Dry,Shallow,Medium,Cracked,Pimples,Vata
Male,DarkBrown,Pink,Black,Dark,Oily,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,PaleYellow,DarkBrown,Whitish,Dry,Sound,Good,Non_Cracked,Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,Black,Dark,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Normal,Shallow,Poor,Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,Black,Dark,Dry,Sound,Poor,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Pink,DarkBrown,Whitish,Normal,Shallow,Medium,Non_Cracked,Pimples,Pitta
Male,LightBrown,Pink,Black,FairReddish,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Female,Black,Pink,Black,Dark,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,PaleYellow,LightBrown,FairReddish,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Whitish,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,Black,Dark,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,LightBrown,Dark,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,LightBrown,Dark,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,Black,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,Black,Dark,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,Black,Dark,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Dusky,Dark,Normal,Sound,Good,Cracked,Pimples,Vata
Female,LightBrown,Reddish,DarkBrown,Dark,Dry,Sound,Poor,Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,Black,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Pink,DarkBrown,FairPaleYellow,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Pink,DarkBrown,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,Black,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Pitta
Female,LightBrown,PaleYellow,LightBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,DarkBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Dark,Dry,Sound,Poor,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,Black,Whitish,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,LightBrown,FairPink,Normal,Shallow,Poor,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,DarkBrown,FairPaleYellow,Normal,Sound,Medium,Non_Cracked,Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,NA,Dry,Shallow,Medium,Non_Cracked,Pimples,Vata
Female,DarkBrown,Reddish,Dusky,Dark,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,PaleYellow,LightBrown,FairPaleYellow,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,Black,Dark,Black,Dark,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,LightBrown,Dark,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Black,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,DarkBrown,Whitish,Oily,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Female,Black,Pink,Black,Whitish,Normal,Sound,Good,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Dusky,Dark,Dry,Sound,Medium,Non_Cracked,Pimples,Vata
Female,Grayish,Pink,DarkBrown,FairReddish,Dry,Sound,Good,Non_Cracked,Pimples,Pitta
Female,Black,Pink,Black,Dark,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,LightBrown,FairPaleYellow,Seasonal/Variable,Deep,Medium,Cracked,Non_Pimples,Vata
Female,Black,Pink,Black,Whitish,Normal,Sound,Good,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,DarkBrown,Whitish,Seasonal/Variable,Sound,Medium,Cracked,Pimples,Pitta
Female,DarkBrown,Reddish,NA,Whitish,Oily,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Dark,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,Black,Pink,DarkBrown,Dark,Dry,Shallow,Good,Non_Cracked,Pimples,Vata
Female,DarkBrown,PaleYellow,LightBrown,Dark,Seasonal/Variable,Shallow,Medium,Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,LightBrown,Dark,Seasonal/Variable,Shallow,Good,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,Black,Dark,Normal,Deep,Good,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,Black,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Reddish,DarkBrown,FairReddish,Normal,Deep,Good,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,LightBrown,Dark,Normal,Sound,NA,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Dark,DarkBrown,Whitish,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,Black,Dark,Dusky,Whitish,Dry,Sound,Medium,Non_Cracked,Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,LightBrown,Whitish,Normal,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Dry,Shallow,Medium,Cracked,Pimples,Vata
Female,Black,Pink,Black,FairPink,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,LightBrown,FairPaleYellow,Normal,Shallow,Good,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Reddish,LightBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Dark,Dry,Sound,Good,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,LightBrown,Dark,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,Dark,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,Dusky,Dark,Dry,Shallow,Medium,Non_Cracked,Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,Black,Whitish,Normal,Sound,Good,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,LightBrown,Whitish,Dry,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,FairPaleYellow,Oily,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Female,Black,Dark,Black,Whitish,Normal,Sound,Poor,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,DarkBrown,Whitish,Dry,Shallow,Medium,Cracked,Non_Pimples,Vata
Female,LightBrown,Reddish,LightBrown,Whitish,Dry,Shallow,Medium,Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,LightBrown,Dark,Dry,NA,Good,Non_Cracked,Pimples,Vata
Female,Black,Pink,Black,FairReddish,Normal,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Dry,Sound,Poor,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,Whitish,Dry,Shallow,Medium,Cracked,Non_Pimples,Vata
Female,Black,Pink,LightBrown,FairPaleYellow,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,Black,Dark,Seasonal/Variable,Sound,Poor,Cracked,Non_Pimples,Vata
Female,Black,Pink,DarkBrown,FairPaleYellow,Normal,Shallow,Poor,Non_Cracked,Non_Pimples,Pitta
